number,opcode,operands,result,may_throw,may_bailout,may_call_php,may_run_dtor,reference_semantics,observer_boundary,interrupt_boundary,existing_jit_support,planned_znmir_lowering,n0_x64,n0_a64,special_cases,effect_ids,read_domains,write_domains,ownership_actions,barrier_ids,tests,source_refs,reason
0,ZEND_NOP,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HOT_HANDLER"",""op1"":[""ANY""],""op2"":[""ANY""],""spec"":[],""variants"":[]}",none,never,never,never,never,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,partial,runtime.misc,not_started,not_started,[],[],[],[],[],[],"[""contract.opcode_matrix"",""opcode.ZEND_NOP""]","[{""end_line"":8168,""path"":""Zend/zend_vm_def.h"",""start_line"":8162,""symbol"":""ZEND_NOP""},{""end_line"":2729,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":2729,""symbol"":""ZEND_NOP""}]",The cited VM definition is an explicit control/metadata no-op with pure/no-memory/no-ownership behavior; it contains no semantic value access.
1,ZEND_ADD,"{""dispatches"":[{""kind"":""helper"",""source_line"":81,""target"":""zend_add_helper"",""target_end_line"":45,""target_start_line"":25}],""extended"":[],""handler_style"":""ZEND_VM_HOT_NOCONSTCONST_HANDLER"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""spec"":[],""variants"":[{""condition"":""(res_info == MAY_BE_LONG && op1_info == MAY_BE_LONG && op2_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_ADD_LONG_NO_OVERFLOW"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10115,""spec"":[""NO_CONST_CONST"",""COMMUTATIVE""]},{""condition"":""(op1_info == MAY_BE_LONG && op2_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_ADD_LONG"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10127,""spec"":[""NO_CONST_CONST"",""COMMUTATIVE""]},{""condition"":""(op1_info == MAY_BE_DOUBLE && op2_info == MAY_BE_DOUBLE)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_ADD_DOUBLE"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10139,""spec"":[""NO_CONST_CONST"",""COMMUTATIVE""]}]}",temporary,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_ADD""]","[{""end_line"":45,""path"":""Zend/zend_vm_def.h"",""start_line"":25,""symbol"":""zend_add_helper""},{""end_line"":83,""path"":""Zend/zend_vm_def.h"",""start_line"":46,""symbol"":""ZEND_ADD""},{""end_line"":1712,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1712,""symbol"":""ZEND_ADD""},{""end_line"":4551,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4551,""symbol"":""ZEND_ADD""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_add_helper) are cited and included in the conservative effect union.
2,ZEND_SUB,"{""dispatches"":[{""kind"":""helper"",""source_line"":140,""target"":""zend_sub_helper"",""target_end_line"":104,""target_start_line"":84}],""extended"":[],""handler_style"":""ZEND_VM_HOT_NOCONSTCONST_HANDLER"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""spec"":[],""variants"":[{""condition"":""(res_info == MAY_BE_LONG && op1_info == MAY_BE_LONG && op2_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_SUB_LONG_NO_OVERFLOW"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10151,""spec"":[""NO_CONST_CONST""]},{""condition"":""(op1_info == MAY_BE_LONG && op2_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_SUB_LONG"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10163,""spec"":[""NO_CONST_CONST""]},{""condition"":""(op1_info == MAY_BE_DOUBLE && op2_info == MAY_BE_DOUBLE)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_SUB_DOUBLE"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10175,""spec"":[""NO_CONST_CONST""]}]}",temporary,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_SUB""]","[{""end_line"":104,""path"":""Zend/zend_vm_def.h"",""start_line"":84,""symbol"":""zend_sub_helper""},{""end_line"":142,""path"":""Zend/zend_vm_def.h"",""start_line"":105,""symbol"":""ZEND_SUB""},{""end_line"":1713,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1713,""symbol"":""ZEND_SUB""},{""end_line"":4552,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4552,""symbol"":""ZEND_SUB""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_sub_helper) are cited and included in the conservative effect union.
3,ZEND_MUL,"{""dispatches"":[{""kind"":""helper"",""source_line"":202,""target"":""zend_mul_helper"",""target_end_line"":163,""target_start_line"":143}],""extended"":[],""handler_style"":""ZEND_VM_COLD_CONSTCONST_HANDLER"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""spec"":[""COMMUTATIVE""],""variants"":[{""condition"":""(res_info == MAY_BE_LONG && op1_info == MAY_BE_LONG && op2_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_MUL_LONG_NO_OVERFLOW"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10187,""spec"":[""NO_CONST_CONST"",""COMMUTATIVE""]},{""condition"":""(op1_info == MAY_BE_LONG && op2_info == MAY_BE_LONG)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_MUL_LONG"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10199,""spec"":[""NO_CONST_CONST"",""COMMUTATIVE""]},{""condition"":""(op1_info == MAY_BE_DOUBLE && op2_info == MAY_BE_DOUBLE)"",""extended"":[],""handler_style"":""ZEND_VM_HOT_TYPE_SPEC_HANDLER"",""name"":""ZEND_MUL_DOUBLE"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""source_line"":10213,""spec"":[""NO_CONST_CONST"",""COMMUTATIVE""]}]}",temporary,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_MUL""]","[{""end_line"":163,""path"":""Zend/zend_vm_def.h"",""start_line"":143,""symbol"":""zend_mul_helper""},{""end_line"":204,""path"":""Zend/zend_vm_def.h"",""start_line"":164,""symbol"":""ZEND_MUL""},{""end_line"":1714,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1714,""symbol"":""ZEND_MUL""},{""end_line"":4553,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4553,""symbol"":""ZEND_MUL""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_mul_helper) are cited and included in the conservative effect union.
4,ZEND_DIV,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_COLD_CONSTCONST_HANDLER"",""op1"":[""CONST"",""TMP"",""CV""],""op2"":[""CONST"",""TMP"",""CV""],""spec"":[],""variants"":[]}",temporary,conditional,conditional,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,partial,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""bailout"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_DIV""]","[{""end_line"":218,""path"":""Zend/zend_vm_def.h"",""start_line"":205,""symbol"":""ZEND_DIV""},{""end_line"":1398,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1398,""symbol"":""ZEND_DIV""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor paths used for this conservative annotation; JIT status uses only cited compiler cases."
5,ZEND_MOD,"{""dispatches"":[{""kind"":""helper"",""source_line"":263,""target"":""zend_mod_by_zero_helper"",""target_end_line"":228,""target_start_line"":219},{""kind"":""helper"",""source_line"":274,""target"":""zend_mod_helper"",""target_end_line"":249,""target_start_line"":229}],""extended"":[],""handler_style"":""ZEND_VM_COLD_CONSTCONST_HANDLER"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""spec"":[],""variants"":[]}",temporary,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_MOD""]","[{""end_line"":228,""path"":""Zend/zend_vm_def.h"",""start_line"":219,""symbol"":""zend_mod_by_zero_helper""},{""end_line"":249,""path"":""Zend/zend_vm_def.h"",""start_line"":229,""symbol"":""zend_mod_helper""},{""end_line"":276,""path"":""Zend/zend_vm_def.h"",""start_line"":250,""symbol"":""ZEND_MOD""},{""end_line"":1668,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1668,""symbol"":""ZEND_MOD""},{""end_line"":4517,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4517,""symbol"":""ZEND_MOD""}]","The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_mod_by_zero_helper, zend_mod_helper) are cited and included in the conservative effect union."
6,ZEND_SL,"{""dispatches"":[{""kind"":""helper"",""source_line"":316,""target"":""zend_shift_left_helper"",""target_end_line"":297,""target_start_line"":277}],""extended"":[],""handler_style"":""ZEND_VM_COLD_CONSTCONST_HANDLER"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""spec"":[],""variants"":[]}",temporary,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_SL""]","[{""end_line"":297,""path"":""Zend/zend_vm_def.h"",""start_line"":277,""symbol"":""zend_shift_left_helper""},{""end_line"":318,""path"":""Zend/zend_vm_def.h"",""start_line"":298,""symbol"":""ZEND_SL""},{""end_line"":1666,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1666,""symbol"":""ZEND_SL""},{""end_line"":4515,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4515,""symbol"":""ZEND_SL""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_shift_left_helper) are cited and included in the conservative effect union.
7,ZEND_SR,"{""dispatches"":[{""kind"":""helper"",""source_line"":356,""target"":""zend_shift_right_helper"",""target_end_line"":339,""target_start_line"":319}],""extended"":[],""handler_style"":""ZEND_VM_COLD_CONSTCONST_HANDLER"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""spec"":[],""variants"":[]}",temporary,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_SR""]","[{""end_line"":339,""path"":""Zend/zend_vm_def.h"",""start_line"":319,""symbol"":""zend_shift_right_helper""},{""end_line"":358,""path"":""Zend/zend_vm_def.h"",""start_line"":340,""symbol"":""ZEND_SR""},{""end_line"":1667,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1667,""symbol"":""ZEND_SR""},{""end_line"":4516,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4516,""symbol"":""ZEND_SR""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_shift_right_helper) are cited and included in the conservative effect union.
8,ZEND_CONCAT,"{""dispatches"":[],""extended"":[],""handler_style"":""ZEND_VM_HANDLER"",""op1"":[""CONST"",""TMP"",""CV""],""op2"":[""CONST"",""TMP"",""CV""],""spec"":[""NO_CONST_CONST""],""variants"":[]}",temporary,conditional,conditional,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""allocate"",""bailout"",""call_internal"",""read_memory"",""reenter_php"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.call_chain"",""frame.locals"",""frame.temps"",""heap.string"",""heap.zval""]","[""engine.exception"",""frame.call_chain"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""bailout"",""destructor"",""exception"",""reentrancy"",""safepoint""]","[""contract.opcode_matrix"",""opcode.ZEND_CONCAT""]","[{""end_line"":449,""path"":""Zend/zend_vm_def.h"",""start_line"":373,""symbol"":""ZEND_CONCAT""},{""end_line"":1776,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1776,""symbol"":""ZEND_CONCAT""},{""end_line"":4664,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4664,""symbol"":""ZEND_CONCAT""}]","The cited VM handler and operand declaration provide the exception, bailout, destructor, allocation paths used for this conservative annotation; JIT status uses only cited compiler cases."
9,ZEND_BW_OR,"{""dispatches"":[{""kind"":""helper"",""source_line"":838,""target"":""zend_bw_or_helper"",""target_end_line"":822,""target_start_line"":802}],""extended"":[],""handler_style"":""ZEND_VM_HOT_NOCONSTCONST_HANDLER"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""spec"":[""COMMUTATIVE""],""variants"":[]}",temporary,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_BW_OR""]","[{""end_line"":822,""path"":""Zend/zend_vm_def.h"",""start_line"":802,""symbol"":""zend_bw_or_helper""},{""end_line"":840,""path"":""Zend/zend_vm_def.h"",""start_line"":823,""symbol"":""ZEND_BW_OR""},{""end_line"":1663,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1663,""symbol"":""ZEND_BW_OR""},{""end_line"":4512,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4512,""symbol"":""ZEND_BW_OR""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_bw_or_helper) are cited and included in the conservative effect union.
10,ZEND_BW_AND,"{""dispatches"":[{""kind"":""helper"",""source_line"":877,""target"":""zend_bw_and_helper"",""target_end_line"":861,""target_start_line"":841}],""extended"":[],""handler_style"":""ZEND_VM_HOT_NOCONSTCONST_HANDLER"",""op1"":[""CONST"",""TMPVARCV""],""op2"":[""CONST"",""TMPVARCV""],""spec"":[""COMMUTATIVE""],""variants"":[]}",temporary,conditional,never,never,conditional,The cited handler has no reference-specific path; ordinary zval operands may still be dereferenced only according to their declared handler forms.,never,never,both,scalar.binary,not_started,not_started,"[""destructor"",""exception""]","[""call_internal"",""read_memory"",""run_destructor"",""throw"",""write_memory""]","[""engine.exception"",""frame.locals"",""frame.temps"",""heap.zval""]","[""engine.exception"",""frame.temps"",""gc.metadata"",""heap.zval""]","[""conditional_destroy"",""produce_owned""]","[""destructor"",""exception""]","[""contract.opcode_matrix"",""opcode.ZEND_BW_AND""]","[{""end_line"":861,""path"":""Zend/zend_vm_def.h"",""start_line"":841,""symbol"":""zend_bw_and_helper""},{""end_line"":879,""path"":""Zend/zend_vm_def.h"",""start_line"":862,""symbol"":""ZEND_BW_AND""},{""end_line"":1664,""path"":""ext/opcache/jit/zend_jit.c"",""start_line"":1664,""symbol"":""ZEND_BW_AND""},{""end_line"":4513,""path"":""ext/opcache/jit/zend_jit_trace.c"",""start_line"":4513,""symbol"":""ZEND_BW_AND""}]",The cited VM handler and operand declaration provide the exception paths used for this conservative annotation; JIT status uses only cited compiler cases. Dispatched helper definitions (zend_bw_and_helper) are cited and included in the conservative effect union.
